1979,1.027
1980,1.058
1981,1.077
1982,1.089
1983,1.115
1984,1.14
1985,1.162
1986,1.184
1987,1.211
1988,1.25
1989,1.275
1990,1.293
1991,1.312
1992,1.323
1993,1.334
1994,1.356
1995,1.383
1996,1.41
1997,1.426
1998,1.464
1999,1.495
2000,1.513
2001,1.535
2002,1.564
2003,1.6
2004,1.627
2005,1.655
2006,1.685
2007,1.71
2008,1.739
2009,1.76
2010,1.791
2011,1.817
2012,1.845
2013,1.882
2014,1.908
2015,1.938
2016,1.985
2017,2.013
2018,2.044
2019,2.076
